name,team,nationality,gender,specialty
"Lucas DAUGE","TEAM NOVO NORDISK (TNN)","FRA","M",""
"Florian DAUPHIN","TOTALENERGIES (TEN)","FRA","M",""
"Stefan DE BOD","MODERN ADVENTURE PRO CYCLING (MAP)","RSA","M",""
"Aime DE GENDT","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","BEL","M",""
"Quinten DE GRAEVE","TEAM NOVO NORDISK (TNN)","BEL","M",""
"Arvid DE KLEIJN","TUDOR PRO CYCLING TEAM (TUD)","NED","M",""
"Hugo DE LA CALLE ARANGO","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"David DE LA CRUZ MELGAREJO","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","ESP","M",""
"Hartthijs DE VRIES","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Nicolas DEBEAUMARCHE","COFIDIS (COF)","FRA","M",""
"Joris DELBOVE","TOTALENERGIES (TEN)","FRA","M",""
"Alexandre DELETTRE","TOTALENERGIES (TEN)","FRA","M",""
"Brem DEMAN","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Tuur DENS","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Siebe DEWEIRDT","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Alex DIAZ ALVAREZ","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Jose Manuel DIAZ GALLEGO","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Márton DINA","MBH BANK CSB TELECOM FORT (MBH)","HUN","M",""
"Djordje DJURIC","SOLUTION TECH NIPPO RALI (TFT)","SRB","M",""
"Mark Jamie DONOVAN","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","GBR","M",""
"Robin DONZÉ","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Fabien DOUBEY","TOTALENERGIES (TEN)","FRA","M",""
"Sandy DUJARDIN","TOTALENERGIES (TEN)","FRA","M",""
"Edward DUNBAR","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","IRL","M",""
"Odd Christian EIKING","UNIBET ROSE ROCKETS (URR)","NOR","M",""
"Iñigo ELOSEGUI MOMEÑE","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Jacob ERIKSSON","TUDOR PRO CYCLING TEAM (TUD)","SWE","M",""
"Matteo FABBRO","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Antonio Eric FAGUNDEZ LIMA","BURGOS-BURPELLET-BH (BBH)","URU","M",""
"Adrian FAJARDO TOLEDO","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Alessandro FANCELLU","MBH BANK CSB TELECOM FORT (MBH)","ITA","M",""
"Jose Luis FAURA ASENSIO","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Karsten Larsen FELDMANN","UNIBET ROSE ROCKETS (URR)","NOR","M",""
"Samuel FERNANDEZ GARCIA","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Samuel FERNANDEZ HERES","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Sinuhe FERNANDEZ RODRIGUEZ","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Santiago FERRARO","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Valentin FERRON","COFIDIS (COF)","FRA","M",""
"Tilen FINKŠT","SOLUTION TECH NIPPO RALI (TFT)","SLO","M",""
"Eivind Broholt FOUGNER","UNIBET ROSE ROCKETS (URR)","NOR","M",""
"Milan FRETIN","COFIDIS (COF)","BEL","M",""
"Frederik FRISON","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","BEL","M",""
"Robin FROIDEVAUX","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Thomas GACHIGNARD","TOTALENERGIES (TEN)","FRA","M",""
"Ander GANZABAL BILBAO","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Pablo GARCIA FRANCES","TEAM POLTI VISITMALTA (PTV)","ESP","M",""
"Carlos GARCIA PIERNA","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Fernando GAVIRIA RENDON","CAJA RURAL-SEGUROS RGA (CJR)","COL","M",""
"Michele GAZZOLI","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Ferre GEERAERTS","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Owen GELEIJN","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Nil GIMENO FERRER","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Dario GIULIANO","TEAM POLTI VISITMALTA (PTV)","FRA","M",""
"Thomas GLOAG","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","GBR","M",""
"German Dario GOMEZ BECERRA","TEAM POLTI VISITMALTA (PTV)","COL","M",""
"Iker GOMEZ LOPEZ DE GOICOECHEA","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"David GONZALEZ LOPEZ","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","ESP","M",""
"Roberto GONZÁLEZ","SOLUTION TECH NIPPO RALI (TFT)","PAN","M",""
"Ben GRANGER","SOLUTION TECH NIPPO RALI (TFT)","GBR","M",""
"Fabien GRELLIER","TOTALENERGIES (TEN)","FRA","M",""
"Dylan GROENEWEGEN","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Filip GRUSZCZYŃSKI","MBH BANK CSB TELECOM FORT (MBH)","POL","M",""
"Jaume GUARDEÑO ROMA","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Thibault GUERNALEC","TOTALENERGIES (TEN)","FRA","M",""
"Jorge GUTIERREZ GONZALEZ","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Marco HALLER","TUDOR PRO CYCLING TEAM (TUD)","AUT","M",""
"William Lyndhurst Christopher HARPER","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","AUS","M",""
"Kieran HAUG","MODERN ADVENTURE PRO CYCLING (MAP)","USA","M",""
"Leo William HAYTER","MODERN ADVENTURE PRO CYCLING (MAP)","GBR","M",""
"Paul HENNEQUIN","EUSKALTEL-EUSKADI (EUS)","FRA","M",""
"Quinten HERMANS","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","BEL","M",""
"Jesus HERRADA","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Martin Santiago HERREÑO POLANIA","BARDIANI CSF 7 SABER (BCS)","COL","M",""
"Jules HESTERS","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Marc HIRSCHI","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Emmanuel HOUCOU","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","FRA","M",""
"Craig Damien HOWSON","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","AUS","M",""
"Nolan HUYSMANS","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Alessandro IACCHI","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Javier IBAÑEZ BELTRAN DE SALAZAR","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Unai IRIBAR JAUREGI","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Declan Thomas IRVINE","TEAM NOVO NORDISK (TNN)","AUS","M",""
"Xabier ISASA LARRAÑAGA","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Ion IZAGUIRRE INSAUSTI","COFIDIS (COF)","ESP","M",""
"Clement IZQUIERDO","COFIDIS (COF)","FRA","M",""
"Emilien JEANNIERE","TOTALENERGIES (TEN)","FRA","M",""
"Jordan JEGAT","TOTALENERGIES (TEN)","FRA","M",""
"Yael JOALLAND","COFIDIS (COF)","FRA","M",""
"Jelle JOHANNINK","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Alan JOUSSEAUME","TOTALENERGIES (TEN)","FRA","M",""
"Txomin JUARISTI ARRIETA","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Petr KELEMEN","TUDOR PRO CYCLING TEAM (TUD)","CZE","M",""
"Cole KESSLER","MODERN ADVENTURE PRO CYCLING (MAP)","USA","M",""
"Alex KIRSCH","COFIDIS (COF)","LUX","M",""
"Arthur KLUCKERS","TUDOR PRO CYCLING TEAM (TUD)","LUX","M",""
"Vojtěch KMÍNEK","BURGOS-BURPELLET-BH (BBH)","CZE","M",""
"Oliver KNIGHT","COFIDIS (COF)","GBR","M",""
"Sebastian KOLZE CHANGIZI","TUDOR PRO CYCLING TEAM (TUD)","DEN","M",""
"Casper Matyáš KOPECKÝ","UNIBET ROSE ROCKETS (URR)","CZE","M",""
"Cornelius Tomas KOPECKÝ","UNIBET ROSE ROCKETS (URR)","CZE","M",""
"Tomoya KOYAMA","BURGOS-BURPELLET-BH (BBH)","JPN","M",""
"Lukáš KUBIŠ","UNIBET ROSE ROCKETS (URR)","SVK","M",""
"Merhawi KUDUS","BURGOS-BURPELLET-BH (BBH)","ERI","M",""
"Stefan KÜNG","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Victor LAFAY","UNIBET ROSE ROCKETS (URR)","FRA","M",""
"Michiel LAMBRECHT","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Milan LANHOVE","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Ellande LARRONDE","CAJA RURAL-SEGUROS RGA (CJR)","FRA","M",""
"Niklas LARSEN","UNIBET ROSE ROCKETS (URR)","DEN","M",""
"Harry LASKER","MODERN ADVENTURE PRO CYCLING (MAP)","USA","M",""
"Jonathan LASTRA MARTINEZ","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Mathis LE BERRE","TOTALENERGIES (TEN)","FRA","M",""
"Iúri LEITÃO","CAJA RURAL-SEGUROS RGA (CJR)","POR","M",""
"Samuel LEROUX","TOTALENERGIES (TEN)","FRA","M",""
"Theo LEVEQUE","TOTALENERGIES (TEN)","FRA","M",""
"Fabian LIENHARD","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Emils LIEPINS","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","LAT","M",""
"Giovanni LONARDI","TEAM POLTI VISITMALTA (PTV)","ITA","M",""
"Lander LOOCKX","UNIBET ROSE ROCKETS (URR)","BEL","M",""
"Jordi LOPEZ CARAVACA","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Joseba LOPEZ CUESTA","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Ian LOPEZ DE SAN ROMAN","MODERN ADVENTURE PRO CYCLING (MAP)","USA","M",""
"Juan Jose LOPEZ RODRIGUEZ","TEAM NOVO NORDISK (TNN)","ESP","M",""
"Pablo LOSPITAO GONZALEZ","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"David LOZANO RIBA","TEAM NOVO NORDISK (TNN)","ESP","M",""
"Jan MAAS","COFIDIS (COF)","NED","M",""
"Cesar MACIAS ESTRADA","BURGOS-BURPELLET-BH (BBH)","MEX","M",""
"Donovan MACKIE","TEAM NOVO NORDISK (TNN)","AUS","M",""
"Mirco MAESTRI","TEAM POLTI VISITMALTA (PTV)","ITA","M",""
"Filippo MAGLI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Adrien MAIRE","UNIBET ROSE ROCKETS (URR)","FRA","M",""
"Sam MAISONOBE","COFIDIS (COF)","FRA","M",""
"Bálint MAKRAI","MBH BANK CSB TELECOM FORT (MBH)","HUN","M",""
"Kamil MAŁECKI","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","POL","M",""
"Marco MANENTI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Lorrenzo MANZIN","TOTALENERGIES (TEN)","FRA","M",""
"Martin MARCELLUSI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Nicola MARCEROU","TOTALENERGIES (TEN)","FRA","M",""
"Elias MARIS","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Jose Maria MARTIN MUÑOZ","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Gotzon MARTIN SANZ","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Alessio MARTINELLI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Lorenzo MASCIARELLI","MBH BANK CSB TELECOM FORT (MBH)","ITA","M",""
"Fausto MASNADA","MBH BANK CSB TELECOM FORT (MBH)","ITA","M",""
"Henri Alexandre MAYER","BURGOS-BURPELLET-BH (BBH)","MRI","M",""
"Marius MAYRHOFER","TUDOR PRO CYCLING TEAM (TUD)","GER","M",""
"Bailey MCDONALD","TEAM NOVO NORDISK (TNN)","AUS","M",""
"Brody MCDONALD","MODERN ADVENTURE PRO CYCLING (MAP)","USA","M",""
"Scott MCGILL","MODERN ADVENTURE PRO CYCLING (MAP)","USA","M",""
"Jamie MEEHAN","COFIDIS (COF)","IRL","M",""
"Felix James MEO","SOLUTION TECH NIPPO RALI (TFT)","NZL","M",""
"Sergio MERIS","UNIBET ROSE ROCKETS (URR)","ITA","M",""
"Xandro MEURISSE","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","BEL","M",""
"Andréa MIFSUD","TEAM POLTI VISITMALTA (PTV)","MLT","M",""
"Aivaras MIKUTIS","TUDOR PRO CYCLING TEAM (TUD)","LTU","M",""
"Iker MINTEGI CLAVER","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Alex MOLENAAR","CAJA RURAL-SEGUROS RGA (CJR)","NED","M",""
"Sylvain MONIQUET","COFIDIS (COF)","BEL","M",""
"Andrea MONTAGNER","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Matteo MOSCHETTI","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","ITA","M",""
"Wessel MOURIS","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Luca MOZZATO","TUDOR PRO CYCLING TEAM (TUD)","ITA","M",""
"Anton MULLER","TEAM NOVO NORDISK (TNN)","FRA","M",""
"Tobias MÜLLER","UNIBET ROSE ROCKETS (URR)","GER","M",""
"Francisco MUÑOZ LLANA","TEAM POLTI VISITMALTA (PTV)","ESP","M",""
"Byron MUNTON","MODERN ADVENTURE PRO CYCLING (MAP)","RSA","M",""
"Jokin MURGUIALDAY","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Tommaso NENCINI","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Lorenzo NESPOLI","MBH BANK CSB TELECOM FORT (MBH)","ITA","M",""
"Joel NICOLAU BELTRAN","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Ander OKAMIKA BENGOETXEA","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Stefano OLDANI","CAJA RURAL-SEGUROS RGA (CJR)","ITA","M",""
"Ben OLIVER","MODERN ADVENTURE PRO CYCLING (MAP)","NZL","M",""
"Jakub OTRUBA","CAJA RURAL-SEGUROS RGA (CJR)","CZE","M",""
"Paul OURSELIN","COFIDIS (COF)","FRA","M",""
"Hugo PAGE","COFIDIS (COF)","FRA","M",""
"Luca PALETTI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Nicolo' PARISINI","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","ITA","M",""
"Jose Felix PARRA CUERDA","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Barnabás PEÁK","MBH BANK CSB TELECOM FORT (MBH)","HUN","M",""
"Manuel PEÑALVER ANIORTE","TEAM POLTI VISITMALTA (PTV)","ESP","M",""
"Francisco Joel PEÑUELA SANDOVAL","CAJA RURAL-SEGUROS RGA (CJR)","VEN","M",""
"Cesar PEREZ LOPEZ","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Andrea PERON","TEAM NOVO NORDISK (TNN)","ITA","M",""
"Davide PERSICO","MBH BANK CSB TELECOM FORT (MBH)","ITA","M",""
"Thomas PESENTI","TEAM POLTI VISITMALTA (PTV)","ITA","M",""
"Jannis PETER","UNIBET ROSE ROCKETS (URR)","GER","M",""
"Riley PICKRELL","MODERN ADVENTURE PRO CYCLING (MAP)","CAN","M",""
"Joseph PIDCOCK","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","GBR","M",""
"Thomas PIDCOCK","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","GBR","M",""
"Andrea PIETROBON","TEAM POLTI VISITMALTA (PTV)","ITA","M",""
"Mattia PINAZZI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Andrea PIRAS","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Rick PLUIMERS","TUDOR PRO CYCLING TEAM (TUD)","NED","M",""
"Wouter POELS","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Antonio POLGA","TEAM NOVO NORDISK (TNN)","ITA","M",""
"Umberto POLI","TEAM NOVO NORDISK (TNN)","ITA","M",""
"Louis Marie POSNIC","TEAM NOVO NORDISK (TNN)","FRA","M",""
"Eduard PRADES REVERTER","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Lorenzo QUARTUCCI","BURGOS-BURPELLET-BH (BBH)","ITA","M",""
"Gabriele RACCAGNI","TEAM POLTI VISITMALTA (PTV)","ITA","M",""
"Dusan RAJOVIC","SOLUTION TECH NIPPO RALI (TFT)","SRB","M",""
"Unai RAMOS MURILLO","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Martijn RASENBERG","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Matteo REGNANTI","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Elmar REINDERS","UNIBET ROSE ROCKETS (URR)","NED","M",""
"Alexis RENARD","COFIDIS (COF)","FRA","M",""
"Valentin RETAILLEAU","TOTALENERGIES (TEN)","FRA","M",""
"Mikel RETEGI GOÑI","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Martin REY VAZQUEZ","BURGOS-BURPELLET-BH (BBH)","ESP","M",""
"Filippo RIDOLFO","TEAM NOVO NORDISK (TNN)","ITA","M",""
"Ludovic ROBEET","COFIDIS (COF)","BEL","M",""
"Vicente ROJAS NARANJO","BARDIANI CSF 7 SABER (BCS)","CHI","M",""
"Mathys RONDEL","TUDOR PRO CYCLING TEAM (TUD)","FRA","M",""
"Sergey ROSTOVTSEV","BARDIANI CSF 7 SABER (BCS)","UZB","M",""
"Louis ROULAND","COFIDIS (COF)","FRA","M",""
"Ibon RUIZ SEDANO","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Jambaljamts SAINBAYAR","BURGOS-BURPELLET-BH (BBH)","MGL","M",""
"Sergio SAMITIER SAMITIER","COFIDIS (COF)","ESP","M",""
"Ariel Carlos SAMUDIO CARRERA","SOLUTION TECH NIPPO RALI (TFT)","PAN","M",""
"Colin SAVIOZ","UNIBET ROSE ROCKETS (URR)","FRA","M",""
"Hugo SCALA JR.","MODERN ADVENTURE PRO CYCLING (MAP)","USA","M",""
"Javier SERRANO RODRIGUEZ","TEAM POLTI VISITMALTA (PTV)","ESP","M",""
"Diego Pablo SEVILLA LOPEZ","TEAM POLTI VISITMALTA (PTV)","ESP","M",""
"Nathan SMITH","TEAM NOVO NORDISK (TNN)","GBR","M",""
"Gorka SORARRAIN AGIRREZABALA","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Ivan Ramiro SOSA CUERVO","EQUIPO KERN PHARMA (EKP)","COL","M",""
"Antonio Jesus SOTO GUIRAO","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Mattia STENICO","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Mark STEWART","MODERN ADVENTURE PRO CYCLING (MAP)","GBR","M",""
"Abram STOCKMAN","UNIBET ROSE ROCKETS (URR)","BEL","M",""
"Michael STORER","TUDOR PRO CYCLING TEAM (TUD)","AUS","M",""
"Florian STORK","TUDOR PRO CYCLING TEAM (TUD)","GER","M",""
"Joel SUTER","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"David Louis SUTTON","EUSKALTEL-EUSKADI (EUS)","GBR","M",""
"Zsombor TAKÁCS","MBH BANK CSB TELECOM FORT (MBH)","HUN","M",""
"Manuele TAROZZI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Fernando TERCERO LOPEZ","TEAM POLTI VISITMALTA (PTV)","ESP","M",""
"Lucas TERRIER","TEAM NOVO NORDISK (TNN)","FRA","M",""
"Jason TESSON","TOTALENERGIES (TEN)","FRA","M",""
"Dylan TEUNS","COFIDIS (COF)","BEL","M",""
"Roland THALMANN","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Pierre THIERRY","TOTALENERGIES (TEN)","FRA","M",""
"Benjamin THOMAS","COFIDIS (COF)","FRA","M",""
"Senne THONNON","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Alex TOLIO","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Alessandro TONELLI","TEAM POLTI VISITMALTA (PTV)","ITA","M",""
"Artuur TORNEY","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Adam ŤOUPALÍK","UNIBET ROSE ROCKETS (URR)","CZE","M",""
"Damien TOUZE","COFIDIS (COF)","FRA","M",""
"Lucas Joseph TOWERS","MODERN ADVENTURE PRO CYCLING (MAP)","GBR","M",""
"Rory TOWNSEND","UNIBET ROSE ROCKETS (URR)","IRL","M",""
"Matteo TRENTIN","TUDOR PRO CYCLING TEAM (TUD)","ITA","M",""
"Nikita TSVETKOV","BARDIANI CSF 7 SABER (BCS)","UZB","M",""
"Filippo TURCONI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Matteo TURCONI","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Anthony TURGIS","TOTALENERGIES (TEN)","FRA","M",""
"Gari UGARTE LARREA","EUSKALTEL-EUSKADI (EUS)","ESP","M",""
"Abner Santiago UMBA LOPEZ","SOLUTION TECH NIPPO RALI (TFT)","COL","M",""
"Diego URIARTE BELZUNEGI","EQUIPO KERN PHARMA (EKP)","ESP","M",""
"Milan VADER","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","NED","M",""
"Baptiste VADIC","TOTALENERGIES (TEN)","FRA","M",""
"Márk VALENT","MBH BANK CSB TELECOM FORT (MBH)","HUN","M",""
"Milan VAN DEN HAUTE","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Axel VAN DER TUUK","EUSKALTEL-EUSKADI (EUS)","NED","M",""
"Danny VAN DER TUUK","EUSKALTEL-EUSKADI (EUS)","POL","M",""
"Leander VAN HAUTEGEM","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Vincent VAN HEMELEN","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Brent VAN MOER","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","BEL","M",""
"Henri VANDENABEELE","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Noah VANDENBRANDEN","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Dylan VANDENSTORME","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Ward VANHOOF","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Harm VANHOUCKE","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","BEL","M",""
"Clement VENTURINI","UNIBET ROSE ROCKETS (URR)","FRA","M",""
"Matteo VERCHER","TOTALENERGIES (TEN)","FRA","M",""
"Victor VERCOUILLIE","TEAM FLANDERS - BALOISE (TFB)","BEL","M",""
"Luca VERRANDO","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Alessandro VERRE","MBH BANK CSB TELECOM FORT (MBH)","ITA","M",""
"Killian VERSCHUREN","UNIBET ROSE ROCKETS (URR)","FRA","M",""
"Iker VILLAR GALDEANO","CAJA RURAL-SEGUROS RGA (CJR)","ESP","M",""
"Attilio VIVIANI","SOLUTION TECH NIPPO RALI (TFT)","ITA","M",""
"Yannis VOISARD","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Lawrence WARBASSE","TUDOR PRO CYCLING TEAM (TUD)","USA","M",""
"Célestin WATTELLE","TEAM NOVO NORDISK (TNN)","FRA","M",""
"Fabian WEISS","TUDOR PRO CYCLING TEAM (TUD)","SUI","M",""
"Mats WENZEL","EQUIPO KERN PHARMA (EKP)","LUX","M",""
"Hannes WILKSCH","TUDOR PRO CYCLING TEAM (TUD)","GER","M",""
"Luc WIRTGEN","TUDOR PRO CYCLING TEAM (TUD)","LUX","M",""
"Alfred Brockwell WRIGHT","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","GBR","M",""
"Paul WRIGHT","MODERN ADVENTURE PRO CYCLING (MAP)","NZL","M",""
"Edoardo ZAMPERINI","COFIDIS (COF)","ITA","M",""
"Enrico ZANONCELLO","BARDIANI CSF 7 SABER (BCS)","ITA","M",""
"Maikel ZIJLAARD","TUDOR PRO CYCLING TEAM (TUD)","NED","M",""
"Samuele ZOCCARATO","MBH BANK CSB TELECOM FORT (MBH)","ITA","M",""
"Nickolas ZUKOWSKY","PINARELLO-Q36.5 PRO CYCLING TEAM (PQT)","CAN","M",""
"彥誼 Yen Yi 何 HO","EQUIPO KERN PHARMA (EKP)","TPE","M",""